fen,move,eval_before,eval_after,delta,label
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,33,28,-5,1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,c5,27,67,40,1
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e3,80,21,-59,1
rnbqkbnr/pp1ppppp/8/2p5/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,cxd4,17,29,12,1
rnbqkbnr/pp1ppppp/8/8/3p4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,exd4,29,25,-4,1
rnbqkbnr/pp1ppppp/8/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,d5,23,19,-4,1
rnbqkbnr/pp2pppp/8/3p4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c3,18,22,4,1
rnbqkbnr/pp2pppp/8/3p4/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,Nc6,24,29,5,1
r1bqkbnr/pp2pppp/2n5/3p4/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,f4,30,-43,-73,1
r1bqkbnr/pp2pppp/2n5/3p4/3P1P2/2P5/PP4PP/RNBQKBNR b KQkq - 0 5,e5,-45,39,84,1
r1bqkbnr/pp3ppp/2n5/3pp3/3P1P2/2P5/PP4PP/RNBQKBNR w KQkq - 0 6,Nf3,39,-87,-126,0
r1bqkbnr/pp3ppp/2n5/3pp3/3P1P2/2P2N2/PP4PP/RNBQKB1R b KQkq - 1 6,e4,-110,-110,0,1
r1bqkbnr/pp3ppp/2n5/3p4/3PpP2/2P2N2/PP4PP/RNBQKB1R w KQkq - 0 7,Ne5,-99,-96,3,1
r1bqkbnr/pp3ppp/2n5/3pN3/3PpP2/2P5/PP4PP/RNBQKB1R b KQkq - 1 7,f6,-102,173,275,1
r1bqkbnr/pp4pp/2n2p2/3pN3/3PpP2/2P5/PP4PP/RNBQKB1R w KQkq - 0 8,Qh5+,169,165,-4,1
r1bqkbnr/pp4pp/2n2p2/3pN2Q/3PpP2/2P5/PP4PP/RNB1KB1R b KQkq - 1 8,g6,160,164,4,1
r1bqkbnr/pp5p/2n2pp1/3pN2Q/3PpP2/2P5/PP4PP/RNB1KB1R w KQkq - 0 9,Nxg6,161,172,11,1
r1bqkbnr/pp5p/2n2pN1/3p3Q/3PpP2/2P5/PP4PP/RNB1KB1R b KQkq - 0 9,hxg6,168,178,10,1
r1bqkbnr/pp6/2n2pp1/3p3Q/3PpP2/2P5/PP4PP/RNB1KB1R w KQkq - 0 10,Qxh8,192,193,1,1
r1bqkbnQ/pp6/2n2pp1/3p4/3PpP2/2P5/PP4PP/RNB1KB1R b KQq - 0 10,Kf7,191,193,2,1
r1bq1bnQ/pp3k2/2n2pp1/3p4/3PpP2/2P5/PP4PP/RNB1KB1R w KQ - 1 11,Qh7+,209,230,21,1
r1bq1bn1/pp3k1Q/2n2pp1/3p4/3PpP2/2P5/PP4PP/RNB1KB1R b KQ - 2 11,Bg7,225,226,1,1
r1bq2n1/pp3kbQ/2n2pp1/3p4/3PpP2/2P5/PP4PP/RNB1KB1R w KQ - 3 12,f5,223,128,-95,1
r1bq2n1/pp3kbQ/2n2pp1/3p1P2/3Pp3/2P5/PP4PP/RNB1KB1R b KQ - 0 12,g5,150,271,121,1
r1bq2n1/pp3kbQ/2n2p2/3p1Pp1/3Pp3/2P5/PP4PP/RNB1KB1R w KQ - 0 13,h4,320,216,-104,0
r1bq2n1/pp3kbQ/2n2p2/3p1Pp1/3Pp2P/2P5/PP4P1/RNB1KB1R b KQ - 0 13,gxh4,240,320,80,1
r1bq2n1/pp3kbQ/2n2p2/3p1P2/3Pp2p/2P5/PP4P1/RNB1KB1R w KQ - 0 14,Bh6,355,-361,-716,0
r1bq2n1/pp3kbQ/2n2p1B/3p1P2/3Pp2p/2P5/PP4P1/RN2KB1R b KQ - 1 14,Qf8,-346,483,829,1
r1b2qn1/pp3kbQ/2n2p1B/3p1P2/3Pp2p/2P5/PP4P1/RN2KB1R w KQ - 2 15,Rxh4,438,107,-331,0
r1b2qn1/pp3kbQ/2n2p1B/3p1P2/3Pp2R/2P5/PP4P1/RN2KB2 b Q - 0 15,Nxh6,93,59,-34,1
r1b2q2/pp3kbQ/2n2p1n/3p1P2/3Pp2R/2P5/PP4P1/RN2KB2 w Q - 0 16,Rxh6,76,59,-17,1
r1b2q2/pp3kbQ/2n2p1R/3p1P2/3Pp3/2P5/PP4P1/RN2KB2 b Q - 0 16,Ne7,76,287,211,1
r1b2q2/pp2nkbQ/5p1R/3p1P2/3Pp3/2P5/PP4P1/RN2KB2 w Q - 1 17,Rh3,300,135,-165,0
r1b2q2/pp2nkbQ/5p2/3p1P2/3Pp3/2P4R/PP4P1/RN2KB2 b Q - 2 17,Bxf5,110,124,14,1
r4q2/pp2nkbQ/5p2/3p1b2/3Pp3/2P4R/PP4P1/RN2KB2 w Q - 0 18,Qh4,109,-162,-271,0
r4q2/pp2nkb1/5p2/3p1b2/3Pp2Q/2P4R/PP4P1/RN2KB2 b Q - 1 18,Bxh3,-145,-135,10,1
r4q2/pp2nkb1/5p2/3p4/3Pp2Q/2P4b/PP4P1/RN2KB2 w Q - 0 19,Qxh3,-147,-201,-54,1
r4q2/pp2nkb1/5p2/3p4/3Pp3/2P4Q/PP4P1/RN2KB2 b Q - 0 19,Qh8,-214,-216,-2,1
r6q/pp2nkb1/5p2/3p4/3Pp3/2P4Q/PP4P1/RN2KB2 w Q - 1 20,Qd7,-227,-293,-66,1
r6q/pp1Qnkb1/5p2/3p4/3Pp3/2P5/PP4P1/RN2KB2 b Q - 2 20,Qh4+,-335,-319,16,1
r7/pp1Qnkb1/5p2/3p4/3Pp2q/2P5/PP4P1/RN2KB2 w Q - 3 21,Kd2,-358,-457,-99,1
r7/pp1Qnkb1/5p2/3p4/3Pp2q/2P5/PP1K2P1/RN3B2 b - - 4 21,Bh6+,-532,-374,158,1
r7/pp1Qnk2/5p1b/3p4/3Pp2q/2P5/PP1K2P1/RN3B2 w - - 5 22,Kc2,-401,-407,-6,1
r7/pp1Qnk2/5p1b/3p4/3Pp2q/2P5/PPK3P1/RN3B2 b - - 6 22,Qf2+,-395,-382,13,1
r7/pp1Qnk2/5p1b/3p4/3Pp3/2P5/PPK2qP1/RN3B2 w - - 7 23,Nd2,-393,-413,-20,1
r7/pp1Qnk2/5p1b/3p4/3Pp3/2P5/PPKN1qP1/R4B2 b - - 8 23,Qxd2+,-427,-321,106,1
r7/pp1Qnk2/5p1b/3p4/3Pp3/2P5/PPKq2P1/R4B2 w - - 0 24,Kb3,-321,-344,-23,1
r7/pp1Qnk2/5p1b/3p4/3Pp3/1KP5/PP1q2P1/R4B2 b - - 1 24,e3,-331,-262,69,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,40,27,-13,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,28,26,-2,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d3,38,-14,-52,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,Nf6,-13,-8,5,1
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,Nf3,-14,-23,-9,1
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,d5,-16,9,25,1
rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Nc3,13,-43,-56,1
rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 1 4,Nc6,-62,-29,33,1
r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 2 5,exd5,-26,-19,7,1
r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nxd5,-19,-23,-4,1
